Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form_x,House_Env,House_Age_x,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp_x,MCS_SCOP_x,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed_x,HP_Installed_Detail,HP_Brand_x,HP_Model_x,HP_Size_kW_x,HP_Refrigerant_x,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment,Included_SPF_analysis,Excluded_SPF_analysis_reason,Postcode,House_Form_y,House_Age_y,HP_Installed_y,HP_Brand_y,HP_Model_y,HP_Size_kW_y,HP_Refrigerant_y,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,MCS_Flow_Temp_y,MCS_SCOP_y,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
OVO,EOH0001,SL0,33.0,Working Full time (>30hrs),Manager,"50,001+",2020-08-17T00:00:00.000Z,Owner-Occupied,,AB,2.0,Yes,,Yes,"We have an electric car and we are keen to make our home efficient and environmentally friendly. We have researched technologies, especially solar batteries, solar panels and insulation, but we are open to others.",Yes,We have completed a full building survey and will complete a gas/heating survey next week. The heating system is dated and the insulation is very poor (including single glazing).,Yes,We will complete the purchase in September and hope to have planning approval in December to complete the work in Spring time.,Yes,We are a young couple in our 30s. We are first time buyers and we are on a budget for the renovation.,Yes,"We already researched some technologies. We have an electric car, so we have focused on electricity generation and storage, as a first step.",Yes,,No,"We havent researched a heat pump yet, but would be interested to learn more.",Yes,,No,,09/02/2021,Retrofitworks,House,Semi-Detached,Suburban,1945-1964,E,2.0,0.0,2.0,82.36,5.0,3.0,5.0,2.4,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,100,0.0,0.0,0.0,No,No,,,8.29,69.0,21577.77,4380.0,1368.75,45.0,3.42,Yes with additional measures,No,Yes with additional measures,Yes with additional measures,ASHP,,,Heat Emitters,9981.18,809.35,1074.93,14.0,,Yes,,,31/03/2021,Northern Gas,ASHP,,Daikin,EDLQ011CV3,11.0,R410A,,Water_New,180.0,,1.0,0.0,4.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,5520.11,2018.59,2747.51,504.52,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,False,Less than 1yr data available,SL0,Semi-Detached,1945-1964,ASHP,Daikin,EDLQ011CV3,11.0,R410A,2021-12-01T11:04:00.000Z,2022-08-15T09:16:00.000Z,256.93,2021-12-01T11:04:00.000Z,2022-08-15T09:14:00.000Z,256.92,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,45.0,3.42,True,2021-12-22T00:00:00.000Z,0.912,0.8,5.1,-4.3,11.92,14.48,10.38,7.73,4.76,2.29,0.0,0.0,,1.0,1.0,1.0,,1.0,
E.ON,EOH0002,NE13,42.0,Working Full time (>30hrs),Professional,"50,001+",2020-10-20T00:00:00.000Z,Owner-Occupied,11.0,AB,5.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,02/11/2020,Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.139,32.45,17762.0,4720.0,0.0,,,No,No,Yes,Yes,HT_ASHP,,,None Required,15468.94,0.0,985.0,14.3,3.8,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0003,NE38,42.0,Working Full time (>30hrs),Clerical,Prefer not to say,2020-12-07T00:00:00.000Z,Owner-Occupied,20.0,C1,5.0,YES,,NO,,NO,,NO,,YES,bill savings,NO,,NO,,NO,,NO,,NO,,23/12/2020,E.ON,House,Mid-Terrace,Suburban,1983 - 1990,C,2.0,1.0,2.0,99.0,4.0,3.0,7.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,,,5.018,50.69,10079.4,4212.0,646.0,45.0,3.57,Yes with additional measures,No,No,Yes,ASHP,,,Loft Insulation,12602.18,500.0,607.0,14.3,3.8,Yes,,,16/04/2021,Aaron Services,ASHP,,Daikin,EDLQ07CAV7,7.0,R410A,,Water_new,300.0,,1.0,8.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,Yes,0.0,0.0,,no,5648.0,1752.0,,3424.27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,True,,NE38,Mid-Terrace,1983 - 1990,ASHP,Daikin,EDLQ07CAV7,7.0,R410A,2021-04-15T16:16:00.000Z,2023-09-28T23:58:00.000Z,896.32,2021-04-15T16:18:00.000Z,2023-09-28T23:56:00.000Z,896.32,2021-05-23T00:00:00.000Z,2022-05-23T00:00:00.000Z,2.0,0.001,2.737,2.592,2.502,3640.01,8811.39,294.14,0.0,126.84,,-0.833,-23.33,1.3,30.74,34.23,28.33,33.28,30.53,55.07,False,0.0,cleaned,0.998,0.998,0.999,,0.998,,478.0,2.776,0.054,2.75,2.673,0.073,2.676,2.575,0.067,2.578,45.0,3.57,True,2022-12-13T00:00:00.000Z,1.96,-5.52,-2.97,-7.94,18.14,18.91,16.96,36.15,58.88,11.99,0.0,0.9,,1.0,1.0,1.0,,1.0,
E.ON,EOH0004,NE13,66.0,Retired,Pensioner,"30,001 - 40,000",2020-10-07T00:00:00.000Z,Owner-Occupied,12.0,DE,5.0,YES,,NO,,NO,,NO,,YES,Potential for bill savings,NO,,NO,,NO,,NO,,NO,,29/10/2020,Phoenix,House,Detached,Urban,2007 - 2011,,2.0,0.0,1.0,208.0,4.0,3.0,4.0,3.0,Solid_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Unknown,Water,Unknown,6.0,0.0,1.0,No,No,,,,,,,,,,Yes,No,Yes,Yes,None - Installation not recommended,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH0005,EH33,59.0,Working Full time (>30hrs),Professional,Prefer not to say,2020-10-16T00:00:00.000Z,Owner-Occupied,24.0,AB,3.0,Yes,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,14/12/2020,Warmworks,House,Detached,Suburban,1991-2000,C,2.0,0.0,2.0,97.32,5.0,3.0,5.0,2.42,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,3343.0,14843.0,5.8,66.1,14631.0,3566.0,1747.0,55.0,3.39,Yes,No,Yes,Yes,Hybrid,,,,,,1176.0,14.0,3.0,Yes,,,20/05/2021,BRB Electrical Ltd,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,0.0,Water_New,200.0,,1.0,,10.0,0.0,,Low Noise Heat Pump,No,0.0,0.0,0.0,Yes,No,0.0,0.0,,No,11215.17,3572.21,1610.23,2705.76,,,,,,,2.0,0.0,,True,,EH33,Detached,1991-2000,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,2021-05-21T14:00:00.000Z,2023-09-28T23:58:00.000Z,860.42,2021-05-21T14:02:00.000Z,2023-09-28T23:56:00.000Z,860.41,2022-07-27T00:00:00.000Z,2023-07-27T00:00:00.000Z,2.0,0.001,3.476,3.476,3.405,3220.01,10964.88,0.0,0.0,65.28,,0.086,2.53,0.98,35.6,38.82,33.52,37.54,35.16,76.77,True,7e-05,cleaned,0.999,0.999,,,0.999,,258.0,3.15,0.439,3.392,3.15,0.439,3.392,3.088,0.428,3.324,55.0,3.39,True,2022-12-13T00:00:00.000Z,2.698,-6.42,-2.6,-8.37,19.85,21.79,17.95,32.97,88.94,0.0,0.0,0.47,,1.0,1.0,,,1.0,
Warmworks,EOH0006,TD1,77.0,Retired,Pensioner,Prefer not to say,2020-08-05T00:00:00.000Z,Rented (Social),42.0,DE,1.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,SOCIAL HOUSING REFERRAL,,,House,Mid-Terrace,Suburban,1965-1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Social_Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0007,NE3,66.0,Retired,Pensioner,"25,001 - 30,000",2020-11-07T00:00:00.000Z,Owner-Occupied,37.0,C2,1.0,YES,,NO,,NO,,,,NO,,YES,,NO,,NO,,NO,,NO,,12/04/2021,Phoenix,House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,None - Installation not recommended,Practical_Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0008,NE7,38.0,Working Full time (>30hrs),Professional,"50,001+",2021-01-12T00:00:00.000Z,Owner-Occupied,1.0,C1,3.0,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,27/01/2021,Phoenix,House,Semi-Detached,Urban,1930 - 1949,,3.0,2.0,3.0,100.0,6.0,3.0,8.0,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,2.0,1.0,No,No,2343.0,13235.0,,,,,,,,No,No,No,No,None - Installation not recommended,Technical_Comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0009,RG14,51.0,Working Full time (>30hrs),Professional,Prefer not to say,2020-07-29T00:00:00.000Z,Owner-Occupied,25.0,AB,4.0,Yes,,Yes,"Boiler is approaching 15 years old, so we will have to replace, preferably in a sustainable manner",Yes,,No,,Yes,"Not going to lie, this would be great!",Yes,I have tried to add energy saving functions to central heating before and would be keen  to continue.,Yes,Happy to building and plumbing work to complete this project,No,,No,"Not immediately, but certainly within 5 years",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH0010,EH5,42.0,Working Part time,Professional,Prefer not to say,2020-10-23T00:00:00.000Z,Owner-Occupied,3.0,C1,1.0,Yes,,Yes,,No,,No,,Yes,,No,,No,,No,,No,,No,,,,Flat,Flat,Urban,2001+,,,,,,,,,,,,,,Yes,Gas,,,,,,,,,,,,,,,,,,,,,,,None - Installation not recommended,Practical_SpaceExternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
